GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",2228,112,507,103,70,53,0,18,0,18,70,53,117,71,19,22,24,31,74,61,96,57,35,30,19,21,42,37,108,53,9,12,84,45,15,25,116,73,85,53,0,18,31,44,0,18,1721,141,336,128,0,18,23,35,313,124,570,158,0,18,115,76,455,142,324,105,38,42,133,81,153,81,256,126,95,78,161,94,0,18,169,84,148,77,21,31,0,18,40,40,26,29
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",768,44,478,50,50,26,0,13,6,9,44,25,67,34,15,14,17,18,35,25,44,23,19,16,13,20,12,13,31,22,16,16,3,5,12,15,286,54,213,50,64,32,9,13,0,13,290,50,74,33,0,13,0,13,74,33,48,30,0,13,0,13,48,30,44,24,0,13,11,11,33,21,74,46,26,26,34,25,14,22,46,27,36,23,10,10,0,13,0,13,4,6
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",1181,83,230,54,13,15,0,13,0,13,13,15,0,13,0,13,0,13,0,13,8,12,8,12,0,13,0,13,29,26,24,25,5,8,0,13,180,57,91,41,89,49,0,13,0,13,951,95,61,56,0,13,0,13,61,56,124,67,0,13,0,13,124,67,205,83,0,13,143,78,62,47,273,104,62,54,166,75,45,41,244,95,223,90,21,27,0,13,27,36,17,20
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",1686,71,1335,102,8,11,0,13,0,13,8,11,26,24,0,13,15,16,11,17,177,81,26,19,30,26,121,75,189,74,31,24,47,34,111,71,935,127,819,124,108,42,8,13,0,13,351,92,0,13,0,13,0,13,0,13,36,37,0,13,0,13,36,37,85,49,0,13,22,27,63,42,70,40,17,26,21,23,32,26,160,60,116,51,44,39,0,13,0,13,0,13
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",1408,96,350,77,23,22,0,13,9,15,14,18,54,54,8,13,0,13,46,52,24,26,10,15,6,12,8,15,93,51,28,33,37,28,28,27,156,56,134,52,22,33,0,13,0,13,1058,110,130,65,0,13,0,13,130,65,174,72,0,13,8,12,166,72,214,85,17,18,155,74,42,31,257,92,66,45,185,84,6,10,277,92,254,95,23,21,0,13,6,10,0,13
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",1280,38,627,74,16,18,0,13,8,13,8,11,71,48,0,13,25,34,46,38,47,26,11,14,29,23,7,11,75,39,19,19,41,31,15,14,418,80,355,72,49,31,14,25,0,13,653,90,46,37,0,13,0,13,46,37,302,102,0,13,7,12,295,102,135,82,0,13,81,70,54,45,118,70,88,73,22,27,8,12,52,35,41,30,11,17,0,13,0,13,0,13
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",2632,151,1244,186,131,96,16,26,0,18,115,94,136,77,46,41,24,37,66,61,222,126,16,25,100,84,106,82,264,119,148,116,77,64,39,46,454,119,426,117,20,34,8,15,37,57,1388,217,367,182,0,18,0,18,367,182,163,121,0,18,0,18,163,121,248,154,0,18,152,124,96,89,286,164,22,36,226,166,38,58,307,162,266,157,41,49,0,18,17,28,0,18
1400000US48453001834,48453001834,"Census Tract 18.34, Travis County, Texas",3948,168,1405,192,84,60,0,18,0,18,84,60,46,41,0,18,9,16,37,37,195,89,78,59,28,32,89,62,347,151,102,89,136,85,109,69,716,156,643,150,73,55,0,18,17,26,2543,235,262,111,0,18,0,18,262,111,301,135,0,18,10,16,291,134,542,205,0,18,212,102,330,170,640,202,135,69,431,180,74,61,676,195,614,184,62,57,0,18,52,49,70,73
1400000US48453001835,48453001835,"Census Tract 18.35, Travis County, Texas",2139,104,929,134,85,47,0,18,18,19,67,41,103,47,34,28,35,29,34,33,173,68,40,29,95,59,38,31,232,97,52,28,116,72,64,62,336,90,259,85,68,50,9,14,0,18,1210,150,174,98,0,18,0,18,174,98,301,110,9,15,9,14,283,108,159,74,0,18,75,64,84,65,309,124,161,101,134,81,14,24,239,98,159,84,80,66,0,18,0,18,28,32
1400000US48453001839,48453001839,"Census Tract 18.39, Travis County, Texas",3207,193,1401,172,12,20,0,18,0,18,12,20,92,61,0,18,32,35,60,50,58,41,0,18,0,18,58,41,376,114,77,60,181,95,118,67,830,174,587,185,243,137,0,18,33,52,1806,201,243,128,0,18,44,68,199,111,231,112,0,18,13,20,218,117,316,149,12,23,126,89,178,115,533,195,39,41,400,186,94,99,438,155,310,132,128,97,0,18,33,53,12,20
