GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",404600,16113
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",386100,23022
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",208300,13681
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",496300,25548
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",259700,14100
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",381200,18030
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",210200,14781
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",218900,11029
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",376000,19883
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",198600,17998
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",251500,37175
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",379900,14550
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",432200,17435
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",419200,34426
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",475400,22750
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",223400,19863
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",160100,11955
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",210400,23095
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",137600,8597
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",119600,41164
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",172700,23734
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",163400,12425
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",156900,17576
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",261400,21060
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",243300,25759
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",178400,17210
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",144000,14419
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",164300,6543
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",133100,11871
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",122600,12154
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",189400,6621
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",249500,71443
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",240500,12969
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",223600,19276
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",178700,8065
