GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile,Estimate; Quintile Share of Aggregate Income: - Second Quintile,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile,Estimate; Quintile Share of Aggregate Income: - Third Quintile,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile,Estimate; Quintile Share of Aggregate Income: - Highest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",4.01,0.91,8.05,2.14,15.04,2.51,22.04,2.62,50.85,6.81,22.77,5.37
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",5.27,1.04,9.96,1.73,15.03,1.86,21.08,2.25,48.67,5.54,21.74,5.9
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",4.43,0.99,10.25,1.45,16.66,1.46,22.88,2.11,45.78,4.16,18.44,5.05
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",4.25,0.99,9.54,1.19,15.81,1.33,24.89,1.58,45.51,2.81,15.62,1.7
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",4.51,1.66,11.13,1.62,15.6,1.84,24.18,2.02,44.59,4.87,18.51,4.29
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",5.32,1.05,11.46,1.2,15.77,1.28,23.4,2.15,44.06,3.46,15.42,2.08
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",3.87,0.93,9.34,1.61,17.67,1.98,25.7,1.96,43.42,3.93,16.86,3.68
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",5.53,1.73,12.18,1.4,17.34,1.05,24.13,1.52,40.83,3.19,13.57,1.73
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",7.17,0.83,12.42,1.51,17.68,1.41,22.81,1.44,39.92,4.09,16.18,3.85
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",4.64,1.01,11.21,1.83,17.76,1.33,24.88,1.64,41.5,2.78,13.52,1.46
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",6.11,1.03,9.55,1.14,14.57,1.85,24.3,2.4,45.48,4.83,18.46,4.9
