GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",123813,19615
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",111591,21407
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",127083,21773
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",90366,18159
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",78590,26325
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",70809,22207
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",120625,14430
1400000US48453001402,48453001402,"Census Tract 14.02, Travis County, Texas",106976,10711
1400000US48453001403,48453001403,"Census Tract 14.03, Travis County, Texas",71691,42458
1400000US48453001501,48453001501,"Census Tract 15.01, Travis County, Texas",121299,18447
1400000US48453001503,48453001503,"Census Tract 15.03, Travis County, Texas",64866,17334
1400000US48453001504,48453001504,"Census Tract 15.04, Travis County, Texas",101875,35703
1400000US48453001505,48453001505,"Census Tract 15.05, Travis County, Texas",98072,13632
1400000US48453001602,48453001602,"Census Tract 16.02, Travis County, Texas",90417,43530
1400000US48453001603,48453001603,"Census Tract 16.03, Travis County, Texas",162031,39358
1400000US48453001604,48453001604,"Census Tract 16.04, Travis County, Texas",204875,14628
1400000US48453001605,48453001605,"Census Tract 16.05, Travis County, Texas",200893,78912
1400000US48453001606,48453001606,"Census Tract 16.06, Travis County, Texas",-,**
1400000US48453001705,48453001705,"Census Tract 17.05, Travis County, Texas",155769,34175
1400000US48453001706,48453001706,"Census Tract 17.06, Travis County, Texas",108980,23098
1400000US48453001707,48453001707,"Census Tract 17.07, Travis County, Texas",101298,17131
1400000US48453001712,48453001712,"Census Tract 17.12, Travis County, Texas",60269,7514
1400000US48453001713,48453001713,"Census Tract 17.13, Travis County, Texas",61020,14036
1400000US48453001714,48453001714,"Census Tract 17.14, Travis County, Texas",127953,31129
1400000US48453001716,48453001716,"Census Tract 17.16, Travis County, Texas",135139,31669
1400000US48453001718,48453001718,"Census Tract 17.18, Travis County, Texas",131776,19602
1400000US48453001719,48453001719,"Census Tract 17.19, Travis County, Texas",159600,17425
1400000US48453001722,48453001722,"Census Tract 17.22, Travis County, Texas",84259,8278
1400000US48453001728,48453001728,"Census Tract 17.28, Travis County, Texas",80492,10469
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",75554,6782
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",117256,15494
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",125625,14215
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",106208,10026
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",100625,12543
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",104966,16389
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",93269,23761
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",105139,13238
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",90517,9693
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",67161,14480
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",90212,10889
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",87115,23671
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",91691,28047
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",157039,17181
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",50966,15455
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",81667,21986
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",111354,22657
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",198672,27407
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",106201,7651
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",129485,39942
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",156250,14104
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",185331,40949
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",116042,8396
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",156613,16942
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",105325,15025
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",122063,5990
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",108750,12026
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",138836,12430
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",156528,20592
1400000US48453001772,48453001772,"Census Tract 17.72, Travis County, Texas",76250,21081
1400000US48453001773,48453001773,"Census Tract 17.73, Travis County, Texas",139440,14413
1400000US48453001774,48453001774,"Census Tract 17.74, Travis County, Texas",108246,5504
1400000US48453001775,48453001775,"Census Tract 17.75, Travis County, Texas",144531,14083
1400000US48453001776,48453001776,"Census Tract 17.76, Travis County, Texas",82000,18783
1400000US48453001777,48453001777,"Census Tract 17.77, Travis County, Texas",92843,7537
1400000US48453001778,48453001778,"Census Tract 17.78, Travis County, Texas",110375,19979
1400000US48453001779,48453001779,"Census Tract 17.79, Travis County, Texas",83721,10208
1400000US48453001780,48453001780,"Census Tract 17.80, Travis County, Texas",84511,12896
1400000US48453001781,48453001781,"Census Tract 17.81, Travis County, Texas",127778,18284
1400000US48453001782,48453001782,"Census Tract 17.82, Travis County, Texas",150647,12843
1400000US48453001783,48453001783,"Census Tract 17.83, Travis County, Texas",139821,27049
1400000US48453001784,48453001784,"Census Tract 17.84, Travis County, Texas",170352,26635
1400000US48453001785,48453001785,"Census Tract 17.85, Travis County, Texas",65000,13062
1400000US48453001786,48453001786,"Census Tract 17.86, Travis County, Texas",75568,10436
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",37967,13378
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",26760,3059
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",31392,8985
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",31801,3979
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",30858,6962
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",31690,6872
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",76951,17592
