GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1400000US48453002207,48453002207,"Census Tract 22.07, Travis County, Texas",2917,76,2777,125,140,101
1400000US48453002208,48453002208,"Census Tract 22.08, Travis County, Texas",1928,106,1862,110,66,46
1400000US48453002209,48453002209,"Census Tract 22.09, Travis County, Texas",3210,209,2995,211,215,123
1400000US48453002210,48453002210,"Census Tract 22.10, Travis County, Texas",1133,54,1102,71,31,42
1400000US48453002211,48453002211,"Census Tract 22.11, Travis County, Texas",897,76,878,76,19,23
1400000US48453002212,48453002212,"Census Tract 22.12, Travis County, Texas",227,57,227,57,0,13
1400000US48453002304,48453002304,"Census Tract 23.04, Travis County, Texas",1915,111,1680,135,235,90
1400000US48453002307,48453002307,"Census Tract 23.07, Travis County, Texas",2798,101,2649,142,149,97
1400000US48453002308,48453002308,"Census Tract 23.08, Travis County, Texas",2759,90,2498,136,261,142
1400000US48453002310,48453002310,"Census Tract 23.10, Travis County, Texas",980,55,935,59,45,32
1400000US48453002312,48453002312,"Census Tract 23.12, Travis County, Texas",2419,80,2189,135,230,114
1400000US48453002313,48453002313,"Census Tract 23.13, Travis County, Texas",2184,60,2078,97,106,69
1400000US48453002314,48453002314,"Census Tract 23.14, Travis County, Texas",2565,74,2204,167,361,168
1400000US48453002315,48453002315,"Census Tract 23.15, Travis County, Texas",1643,43,1370,104,273,97
1400000US48453002316,48453002316,"Census Tract 23.16, Travis County, Texas",2464,68,2165,115,299,101
1400000US48453002317,48453002317,"Census Tract 23.17, Travis County, Texas",2278,113,1948,163,330,145
1400000US48453002318,48453002318,"Census Tract 23.18, Travis County, Texas",4001,146,3539,276,462,238
1400000US48453002319,48453002319,"Census Tract 23.19, Travis County, Texas",0,13,0,13,0,13
1400000US48453002402,48453002402,"Census Tract 24.02, Travis County, Texas",3733,90,3498,194,235,175
1400000US48453002403,48453002403,"Census Tract 24.03, Travis County, Texas",1094,53,981,67,113,62
1400000US48453002407,48453002407,"Census Tract 24.07, Travis County, Texas",2475,60,2265,139,210,125
1400000US48453002409,48453002409,"Census Tract 24.09, Travis County, Texas",1392,31,1335,60,57,49
1400000US48453002410,48453002410,"Census Tract 24.10, Travis County, Texas",1789,39,1717,79,72,66
1400000US48453002411,48453002411,"Census Tract 24.11, Travis County, Texas",1908,49,1824,73,84,58
1400000US48453002412,48453002412,"Census Tract 24.12, Travis County, Texas",1499,35,1442,57,57,46
1400000US48453002413,48453002413,"Census Tract 24.13, Travis County, Texas",1269,68,1252,71,17,26
1400000US48453002419,48453002419,"Census Tract 24.19, Travis County, Texas",2007,47,1828,99,179,90
1400000US48453002421,48453002421,"Census Tract 24.21, Travis County, Texas",4048,67,3904,119,144,108
1400000US48453002422,48453002422,"Census Tract 24.22, Travis County, Texas",2613,50,2526,91,87,95
1400000US48453002423,48453002423,"Census Tract 24.23, Travis County, Texas",2373,42,2289,105,84,93
1400000US48453002424,48453002424,"Census Tract 24.24, Travis County, Texas",1580,33,1506,66,74,58
1400000US48453002425,48453002425,"Census Tract 24.25, Travis County, Texas",1127,64,1070,73,57,40
1400000US48453002426,48453002426,"Census Tract 24.26, Travis County, Texas",2781,146,2765,148,16,26
1400000US48453002427,48453002427,"Census Tract 24.27, Travis County, Texas",2491,118,2331,153,160,113
1400000US48453002428,48453002428,"Census Tract 24.28, Travis County, Texas",2876,120,2750,139,126,89
1400000US48453002429,48453002429,"Census Tract 24.29, Travis County, Texas",694,34,632,68,62,57
1400000US48453002430,48453002430,"Census Tract 24.30, Travis County, Texas",1003,83,867,93,136,73
1400000US48453002431,48453002431,"Census Tract 24.31, Travis County, Texas",2508,99,2235,163,273,137
1400000US48453002432,48453002432,"Census Tract 24.32, Travis County, Texas",719,43,619,68,100,48
1400000US48453002433,48453002433,"Census Tract 24.33, Travis County, Texas",2240,98,2078,135,162,85
1400000US48453002434,48453002434,"Census Tract 24.34, Travis County, Texas",568,27,514,33,54,28
1400000US48453002435,48453002435,"Census Tract 24.35, Travis County, Texas",2518,113,2215,196,303,177
1400000US48453002436,48453002436,"Census Tract 24.36, Travis County, Texas",857,50,749,74,108,52
1400000US48453002500,48453002500,"Census Tract 25, Travis County, Texas",3051,45,2847,168,204,167
1400000US48453980000,48453980000,"Census Tract 9800, Travis County, Texas",0,13,0,13,0,13
