GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",1045,123,8,13,0,13,0,13,0,13,0,13,0,13,0,13,8,13,0,13,10,16,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,45,37,28,31,0,13,0,13,0,13,0,13,0,13,17,20,0,13,71,59,0,13,0,13,0,13,10,17,9,14,45,52,7,12,0,13,129,58,60,40,0,13,0,13,28,26,7,11,21,24,13,21,0,13,124,61,70,42,16,19,22,21,16,20,0,13,0,13,0,13,0,13,347,92,288,92,45,29,14,16,0,13,0,13,0,13,0,13,0,13,311,94,311,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",617,78,54,33,0,13,0,13,0,13,0,13,0,13,0,13,38,29,16,19,8,13,0,13,0,13,0,13,0,13,0,13,0,13,8,13,0,13,30,36,0,13,0,13,0,13,0,13,9,14,0,13,21,34,0,13,86,53,0,13,0,13,0,13,17,20,9,14,0,13,60,48,0,13,16,17,8,13,0,13,0,13,0,13,0,13,8,12,0,13,0,13,35,27,26,23,0,13,0,13,9,14,0,13,0,13,0,13,0,13,137,50,64,31,35,29,9,14,7,11,13,19,9,14,0,13,0,13,251,59,164,47,57,41,21,28,9,14,0,13,0,13,0,13,0,13
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",4298,334,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,25,42,0,20,0,20,0,20,0,20,0,20,25,42,0,20,0,20,129,112,24,40,26,40,0,20,0,20,0,20,0,20,79,95,0,20,189,140,13,21,0,20,19,33,27,41,15,26,26,41,89,115,0,20,341,156,50,55,50,55,64,59,78,117,54,51,0,20,45,50,0,20,346,180,71,58,94,116,59,70,72,77,32,51,18,31,0,20,0,20,1068,271,321,123,142,96,254,149,203,136,72,69,76,103,0,20,0,20,2200,366,1560,338,344,145,124,113,100,82,48,73,24,40,0,20,0,20
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",1834,146,13,20,0,18,0,18,0,18,0,18,0,18,0,18,13,20,0,18,29,32,0,18,0,18,0,18,15,24,0,18,0,18,14,22,0,18,59,64,0,18,12,20,0,18,0,18,0,18,0,18,47,60,0,18,117,82,0,18,16,27,0,18,0,18,0,18,35,39,66,69,0,18,98,73,26,29,0,18,12,20,0,18,13,21,12,20,35,56,0,18,61,51,0,18,0,18,0,18,19,30,0,18,14,22,28,33,0,18,342,131,143,103,31,35,45,43,30,36,19,31,13,22,61,75,0,18,1115,150,684,142,257,103,62,63,47,40,19,31,30,35,16,24,0,18
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",2210,213,40,40,0,18,0,18,0,18,0,18,4,6,4,6,28,38,4,6,85,54,18,27,0,18,0,18,19,29,0,18,4,6,44,36,0,18,154,72,60,49,14,18,0,18,18,23,0,18,36,35,26,21,0,18,175,85,66,82,0,18,3,5,0,18,3,5,72,48,31,29,0,18,251,82,93,52,15,13,39,32,11,11,17,21,11,10,65,51,0,18,249,79,83,49,37,29,22,12,32,33,15,20,27,28,33,33,0,18,533,141,297,104,56,40,3,5,53,36,57,51,13,23,54,76,0,18,723,132,514,119,69,48,15,19,37,34,56,50,12,18,20,21,0,18
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",4007,273,39,37,0,20,0,20,0,20,0,20,0,20,0,20,39,37,0,20,102,81,28,45,0,20,3,5,0,20,0,20,0,20,71,71,0,20,84,74,2,3,0,20,29,47,0,20,33,50,0,20,20,28,0,20,157,128,0,20,6,11,0,20,0,20,89,104,2,4,60,68,0,20,338,138,3,6,89,71,61,68,82,72,47,57,50,62,6,8,0,20,174,108,77,61,0,20,30,47,0,20,42,57,0,20,25,39,0,20,1011,223,388,169,219,99,243,118,156,139,0,20,2,4,3,6,0,20,2102,347,1555,368,319,140,149,100,76,67,3,5,0,20,0,20,0,20
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",2438,223,74,55,0,18,0,18,0,18,16,26,0,18,0,18,25,30,33,37,120,90,9,12,0,18,0,18,12,19,0,18,0,18,99,87,0,18,216,79,92,55,0,18,12,19,33,32,24,29,20,27,35,34,0,18,245,119,102,99,0,18,0,18,63,49,45,43,26,27,9,15,0,18,412,132,179,97,73,51,43,42,52,56,20,32,0,18,45,44,0,18,186,101,89,81,20,20,27,31,31,34,0,18,19,30,0,18,0,18,513,181,327,134,63,57,43,43,27,32,0,18,53,84,0,18,0,18,672,154,445,137,101,69,77,52,0,18,49,80,0,18,0,18,0,18
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",2116,191,13,20,0,18,0,18,13,20,0,18,0,18,0,18,0,18,0,18,43,39,0,18,16,25,0,18,0,18,0,18,0,18,27,30,0,18,69,43,28,30,15,24,0,18,9,15,0,18,0,18,17,26,0,18,118,70,29,33,20,33,14,21,27,45,13,23,0,18,15,24,0,18,309,139,114,75,17,26,25,39,67,87,0,18,61,75,25,29,0,18,298,101,201,83,32,39,50,47,15,24,0,18,0,18,0,18,0,18,503,141,196,80,115,79,33,35,45,42,26,30,65,83,23,37,0,18,763,176,579,163,102,67,12,20,70,53,0,18,0,18,0,18,0,18
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",1838,123,22,35,0,18,0,18,0,18,0,18,0,18,0,18,22,35,0,18,46,44,14,23,18,28,0,18,0,18,0,18,0,18,14,22,0,18,122,83,64,57,0,18,0,18,0,18,0,18,58,61,0,18,0,18,84,59,46,44,0,18,0,18,0,18,6,15,0,18,32,38,0,18,349,128,174,89,35,50,62,55,58,50,20,30,0,18,0,18,0,18,224,104,62,56,43,49,80,50,0,18,0,18,39,52,0,18,0,18,531,164,287,111,131,86,105,108,8,16,0,18,0,18,0,18,0,18,460,126,415,124,45,46,0,18,0,18,0,18,0,18,0,18,0,18
1400000US48453001770,48453001770,"Census Tract 17.70, Travis County, Texas",3740,124,50,62,0,20,0,20,0,20,0,20,0,20,0,20,0,20,50,62,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,81,55,0,20,0,20,0,20,0,20,0,20,17,26,64,49,0,20,138,85,0,20,0,20,0,20,12,20,0,20,41,45,85,70,0,20,360,128,91,63,15,24,99,73,13,20,0,20,73,55,69,54,0,20,388,180,77,59,42,38,154,161,34,48,66,50,0,20,15,25,0,20,1153,238,401,140,447,152,149,81,60,51,81,79,15,24,0,20,0,20,1570,229,1229,218,268,105,73,54,0,20,0,20,0,20,0,20,0,20
1400000US48453001771,48453001771,"Census Tract 17.71, Travis County, Texas",1608,132,55,38,0,13,0,13,0,13,0,13,0,13,0,13,35,29,20,22,28,25,0,13,0,13,0,13,0,13,0,13,0,13,28,25,0,13,51,33,0,13,0,13,0,13,0,13,0,13,16,17,35,27,0,13,139,74,9,14,19,21,18,21,0,13,7,11,17,20,69,58,0,13,124,57,48,36,10,16,9,14,18,19,18,20,21,23,0,13,0,13,165,58,78,39,18,20,18,21,25,23,11,18,8,13,7,13,0,13,333,93,139,56,72,47,85,57,19,21,7,11,11,18,0,13,0,13,713,135,631,131,50,36,11,16,0,13,12,19,0,13,9,14,0,13
