GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US48453001912,48453001912,"Census Tract 19.12, Travis County, Texas",306,85,16,18,34,28,66,54,19,19,29,24,0,13,15,17,44,45,33,26,50,26
1400000US48453001913,48453001913,"Census Tract 19.13, Travis County, Texas",131,68,25,38,9,15,8,13,32,39,0,13,8,15,0,13,0,13,49,56,0,13
1400000US48453001914,48453001914,"Census Tract 19.14, Travis County, Texas",1223,193,0,18,146,85,196,120,202,99,31,36,96,90,38,41,46,37,441,142,27,33
1400000US48453001915,48453001915,"Census Tract 19.15, Travis County, Texas",548,69,7,11,32,23,59,38,103,56,139,70,16,16,5,8,35,24,136,52,16,18
1400000US48453001916,48453001916,"Census Tract 19.16, Travis County, Texas",46,35,5,9,23,31,3,5,0,13,6,9,4,6,0,13,0,13,5,8,0,13
1400000US48453001917,48453001917,"Census Tract 19.17, Travis County, Texas",115,47,20,32,0,13,0,13,8,13,10,15,4,9,31,37,0,13,0,13,42,33
1400000US48453001918,48453001918,"Census Tract 19.18, Travis County, Texas",117,67,8,12,0,13,38,42,0,13,7,10,0,13,5,8,37,55,22,22,0,13
1400000US48453001919,48453001919,"Census Tract 19.19, Travis County, Texas",235,74,14,15,34,40,53,42,26,22,0,13,51,55,0,13,0,13,53,50,4,6
1400000US48453002002,48453002002,"Census Tract 20.02, Travis County, Texas",624,126,13,20,32,28,128,95,67,44,114,104,45,35,9,14,94,71,113,61,9,13
1400000US48453002003,48453002003,"Census Tract 20.03, Travis County, Texas",763,100,34,46,17,20,81,40,106,62,169,87,35,33,81,59,40,42,194,77,6,10
1400000US48453002004,48453002004,"Census Tract 20.04, Travis County, Texas",1488,81,39,39,66,41,148,53,151,78,190,86,219,103,124,73,150,86,358,118,43,33
1400000US48453002005,48453002005,"Census Tract 20.05, Travis County, Texas",1820,198,36,47,89,86,497,186,191,101,177,110,177,125,142,113,134,106,354,144,23,37
1400000US48453002104,48453002104,"Census Tract 21.04, Travis County, Texas",526,99,24,26,36,28,17,19,95,87,129,77,37,35,5,9,104,65,79,69,0,13
1400000US48453002105,48453002105,"Census Tract 21.05, Travis County, Texas",1778,134,25,22,230,105,167,69,114,66,154,81,243,99,151,89,205,96,471,122,18,29
1400000US48453002106,48453002106,"Census Tract 21.06, Travis County, Texas",388,106,22,28,10,16,56,63,57,52,38,43,20,25,34,46,45,50,73,50,33,41
1400000US48453002107,48453002107,"Census Tract 21.07, Travis County, Texas",959,113,91,82,32,43,7,11,88,62,124,74,61,53,59,49,90,55,359,100,48,42
1400000US48453002108,48453002108,"Census Tract 21.08, Travis County, Texas",786,91,52,40,66,56,46,33,60,46,26,21,106,68,78,71,94,59,247,108,11,18
1400000US48453002109,48453002109,"Census Tract 21.09, Travis County, Texas",742,129,9,14,8,14,110,82,41,36,127,80,28,30,24,37,48,44,244,94,103,74
1400000US48453002110,48453002110,"Census Tract 21.10, Travis County, Texas",570,116,9,13,63,52,26,23,35,28,42,31,52,47,35,47,81,65,176,79,51,51
1400000US48453002111,48453002111,"Census Tract 21.11, Travis County, Texas",865,130,8,14,38,40,120,74,116,68,113,59,54,54,21,32,92,67,243,118,60,47
1400000US48453002112,48453002112,"Census Tract 21.12, Travis County, Texas",1182,126,12,18,24,30,69,45,95,64,173,86,38,38,40,44,159,76,517,120,55,47
1400000US48453002113,48453002113,"Census Tract 21.13, Travis County, Texas",512,96,20,21,55,54,9,15,105,66,58,47,10,15,89,64,27,31,99,68,40,46
1400000US48453002201,48453002201,"Census Tract 22.01, Travis County, Texas",238,48,7,12,6,10,0,13,24,24,17,21,0,13,16,17,35,21,114,45,19,20
1400000US48453002202,48453002202,"Census Tract 22.02, Travis County, Texas",1293,195,18,29,30,48,40,50,169,120,88,81,111,97,63,59,224,118,484,189,66,72
1400000US48453002207,48453002207,"Census Tract 22.07, Travis County, Texas",689,220,0,18,65,75,28,40,53,55,77,71,21,36,15,22,164,135,186,139,80,56
1400000US48453002208,48453002208,"Census Tract 22.08, Travis County, Texas",641,124,0,18,88,65,26,31,54,47,70,58,55,41,60,50,102,64,167,87,19,31
1400000US48453002209,48453002209,"Census Tract 22.09, Travis County, Texas",632,206,0,18,20,31,49,80,58,71,20,34,61,82,172,143,78,78,115,84,59,90
1400000US48453002210,48453002210,"Census Tract 22.10, Travis County, Texas",216,78,23,35,57,49,33,34,8,12,0,13,23,35,18,29,11,13,6,10,37,26
1400000US48453002211,48453002211,"Census Tract 22.11, Travis County, Texas",217,65,0,13,11,17,32,19,15,20,6,8,39,36,34,39,25,28,55,41,0,13
1400000US48453002212,48453002212,"Census Tract 22.12, Travis County, Texas",31,24,0,13,0,13,4,6,4,6,18,23,5,7,0,13,0,13,0,13,0,13
1400000US48453002304,48453002304,"Census Tract 23.04, Travis County, Texas",1629,142,92,74,95,54,184,64,209,101,207,80,102,62,130,75,178,75,378,116,54,56
1400000US48453002307,48453002307,"Census Tract 23.07, Travis County, Texas",2132,189,69,59,137,96,131,74,334,150,171,93,231,145,239,154,294,159,491,171,35,39
1400000US48453002308,48453002308,"Census Tract 23.08, Travis County, Texas",2031,173,34,38,81,75,225,103,253,123,214,115,239,137,170,91,180,96,473,150,162,91
1400000US48453002310,48453002310,"Census Tract 23.10, Travis County, Texas",464,80,21,18,45,36,33,27,49,35,46,36,15,19,22,27,109,55,119,52,5,7
1400000US48453002312,48453002312,"Census Tract 23.12, Travis County, Texas",1248,217,54,87,57,77,107,82,143,92,56,68,59,62,155,93,117,92,375,134,125,116
1400000US48453002313,48453002313,"Census Tract 23.13, Travis County, Texas",1831,123,14,23,115,73,193,79,239,93,279,87,93,52,129,70,172,78,541,116,56,47
1400000US48453002314,48453002314,"Census Tract 23.14, Travis County, Texas",2108,183,0,18,109,75,70,64,312,139,199,111,209,127,273,134,189,110,664,174,83,79
1400000US48453002315,48453002315,"Census Tract 23.15, Travis County, Texas",1184,104,63,54,99,65,105,59,116,62,92,56,138,64,94,64,165,69,242,87,70,54
1400000US48453002316,48453002316,"Census Tract 23.16, Travis County, Texas",2157,112,115,67,88,54,301,99,253,97,275,99,289,117,107,52,184,70,502,145,43,48
1400000US48453002317,48453002317,"Census Tract 23.17, Travis County, Texas",1841,179,64,59,108,85,218,104,84,65,166,93,212,99,86,58,183,101,578,132,142,87
1400000US48453002318,48453002318,"Census Tract 23.18, Travis County, Texas",2953,363,53,43,168,149,310,179,231,135,154,106,183,134,128,115,460,234,1075,312,191,129
1400000US48453002319,48453002319,"Census Tract 23.19, Travis County, Texas",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
